pts,symbol,issue_type,status,name,ex_id,sh_out,first_trade_date,first_exchange_date,dividend,co_name_or_cik,year,quarter
1995-03-31 15:05:04,AAAAAAAAAAAABTR,COMMON,ACTV,UpwRyXCHbVSlaQRUpfGRtMOlKmTPAIZ gXqFrFTQJuA                           ,AMEX  ,939750630,19760930,19091028,2.34,0000000426,1995,Q1
1995-03-31 16:08:05,AAAAAAAAAAAAAKL,COMMON,ACTV,PQKwbyUxpqiEiDRkcixbjByhFcLFXNJGZIJQwRgqHzcTnR                        ,NYSE  ,922241030,19660301,19541113,2.69,BlzKUNpcdbxQGHwUAaQlIXGgyZmHnyRREOKBwpXvXwwWEOWiNJVMXWALS   ,1995,Q1
1995-03-31 23:14:01,AAAAAAAAAAAABMM,COMMON,INAC,ArgezvKUmDiDKaqtwsJozJZVYLRPuoDzBnXMcGUrIUoCKmEGnyYdpCdFFreRESiaOcBON ,NASDAQ,925759717,18600824,19751130,0.02,KwjfmirRqfjJKRClFNxFXRUpUKSpCNxNadkYKRajlaHBFBFgLPbynOng    ,1995,Q1
1975-03-25 10:32:02,AAAAAAAAAAAAART,COMMON,ACTV,zKRmFNeFjdyOOJLayyBOMFPpRLNhMNHqI                                     ,AMEX  ,793493027,19490926,19681014,1.65,YlpflHftvhFRyvQtIBh                                         ,1975,Q1
1975-03-25 12:04:01,AAAAAAAAAAAAARW,COMMON,ACTV,NQNISabRUGHtiOLfPeBySFesFrOAWZmyuMqOEAncQzNHZfnUGdSEPXOECaDZUyJ       ,PCX   ,508682097,19461025,18951123,0.14,WFYoXJTwetIPrSRgPIQQFQDWIJGHMRnFFxMqbJlSjGJyqINQxxHNlwcS    ,1975,Q1
1975-03-26 01:16:01,AAAAAAAAAAAAARZ,COMMON,ACTV,pUYqUSFXqZVAhiMWYqxVzRRwteYDBXOFxJConaJZBAFDInqYLkWEICiDJ             ,PCX   ,993616276,19030704,18590610,1.89,KEGJUmtiTGWgspzKcnMQoMWdhjwInvEnWkMEKuWaXSOGKhvGHoFlAuJVDXzs,1975,Q1
1975-03-26 13:16:01,AAAAAAAAAAAAARR,COMMON,ACTV,AyyBihnfjUWIzOMQJyVsWrRAKEXTVFOKAHtHAAVIsouJZNfdkzU                   ,PCX   ,31458880,18821102,19190629,2.98,WFYoXJTwetIPrSRgPIQQFQDWIJGHMRnFFxMqbJlSjGJyqINQxxHNlwcS    ,1975,Q1
1975-03-27 21:04:00,AAAAAAAAAAAAARU,COMMON,ACTV,yvzeSpZENSKvsh                                                        ,AMEX  ,161677103,18871002,18881111,2.3,RSJaCTdzTXyIumBpWRWpmUFrRwTQfjSllfELQwDqUoSBIhxovYPSZIRTY   ,1975,Q1
1975-03-27 21:43:01,AAAAAAAAAAAAARX,COMMON,ACTV,rVzNnxWZCebFDYISDWoHNfYhCitWCosFWwGmTktVtOuArfr                       ,NASDAQ,330879638,19360708,18770609,2.14,WHFYghmChGZswuqDYuIByXJFzcBBBjERqKNTxSqoYQSH                ,1975,Q1
1975-03-28 23:49:00,AAAAAAAAAAAAABA,COMMON,ACTV,tOQfjQkDzRUNrKCapHcGzTDYVzuuxuTJEkSxWHWVKFfFJFdrXzDRTQUhqnTSoc        ,NASDAQ,539384552,19491117,19441113,2.82,0000000171,1975,Q1
1975-03-30 06:15:00,AAAAAAAAAAAAARS,PREF_A,ACTV,XdonMgqXrMJobdylnQPLzRAEL                                             ,NYSE  ,922936359,19190704,18811012,1.0,0000000197,1975,Q1
1975-03-30 17:31:03,AAAAAAAAAAAAARV,COMMON,ACTV,bAMTQRfCJzZRDUWgTHEPZuYSgGXNFYpmYEBORwHVgUq                           ,NASDAQ,478490291,19551203,19340226,0.0,0000000171,1975,Q1
1975-03-31 09:50:01,AAAAAAAAAAAAARY,COMMON,ACTV,YBmPETGfjXOfeGpWSFweattLqDxxSJvCMlAspJEQLlVfjAPxMURFGJWx              ,NYSE  ,377349420,19061124,19291130,1.46,0000000040,1975,Q1
1975-03-31 23:59:05,AAAAAAAAAAAAAOE,PREF_A,INAC,coCIwRFsTcKVoUVZVfirFWBKAIbJGvPpfcRMBqXJaBd IFcyrzQJUhZpBVCUm         ,PCX   ,99194344,19240503,18840104,1.99,jmClCXBcZwINVyetRxHbWYRbsYBIFkuIGtecXWIN                    ,1975,Q1
1981-12-27 05:58:02,AAAAAAAAAAAAAOH,COMMON,ACTV,HvNEdBuHysRHDkrFsjUOxDIdtDtZg                                         ,NASDAQ,616257309,18761225,19290821,1.02,0000000163,1981,Q4
1981-12-27 08:10:02,AAAAAAAAAAAABBG,COMMON,ACTV,RUsPqhPfyHUMYBE                                                       ,PCX   ,967711970,18910612,19310227,1.64,tVwRqtyZnGGmzjRUwFjQ                                        ,1981,Q4
1981-12-27 15:53:00,AAAAAAAAAAAABBD,PREF_C,ACTV,UJmHvHezlnumoXEhHmyoaRBSDPeBuqRhuMs                                   ,NASDAQ,886136654,19780804,18840125,1.11,0000000256,1981,Q4
1981-12-28 06:17:04,AAAAAAAAAAAABBA,COMMON,ACTV,MnDHbMSdASUmYLzoFMdtvBcjEdOGQCsTHoOrGlrtPNynJO                        ,NYSE  ,227134338,18630113,19781028,2.36,0000000022,1981,Q4
1981-12-28 22:59:01,AAAAAAAAAAAABBI,PREF_A,ACTV,qzHUIhAgxIJhsvNhOOOppWfOVhNMaQvtwitBBUDSuFiaJFHsiRXETAgMkQr ucwCTBvNTA,PCX   ,500166443,19330507,19750911,0.28,HUjtzDoCIFlMhxlznJUTHAFWmYdCArlEyI                          ,1981,Q4
1981-12-29 07:57:05,AAAAAAAAAAAABBF,COMMON,ACTV,jlNVMnIOQCHgEk                                                        ,NYSE  ,732266491,19780714,18520118,0.95,VKglnFBQTmHKbkhURWViVkJPWJMHHYGIvBBIOlSNDmPLWjCc            ,1981,Q4
1981-12-29 23:45:02,AAAAAAAAAAAABBC,PREF_A,ACTV,mDSwuJjKNFrBsMGbvEjyYwQPIvmONlKyDxJLApJcKsdMjPWSc                     ,AMEX  ,12577966,19040604,19530911,0.01,BELJVClFSUDWQNFrxaHxDDEMSOMNqTeWbFtIh                       ,1981,Q4
1981-12-30 09:36:00,AAAAAAAAAAAAACT,COMMON,INAC,dqaSEsLRziQlgayTIaocAGODiLIAbQUdDmLCaKAEHwPyRooDAAUuGCHJ              ,PCX   ,554653419,19440621,19161202,2.48,CVRXvUkWOxdMcWRMhABiVpiKwSnFEzHzbbeQ                        ,1981,Q4
1981-12-30 14:42:02,AAAAAAAAAAAABBH,PREF_A,ACTV,SwYkDKEHWW                                                            ,NYSE  ,352633794,19010919,18670608,2.83,eyGBByYTpoRbgjJdHtPbQdJTXrTbcWTJkSHlPvDAkK                  ,1981,Q4
1981-12-31 07:09:02,AAAAAAAAAAAABBE,COMMON,ACTV,WDIFfR WnDkmezLhGQQbIUoIpgOKOSTF J                                    ,NASDAQ,650294685,18990617,19150808,2.82,0000000173,1981,Q4
1981-12-31 13:19:03,AAAAAAAAAAAABBB,COMMON,ACTV,swKthFxYKvSPmERwnkPx iLaEGEVctleYVC                                   ,PCX   ,774021578,18521102,18821228,0.3,BgpLAjcrGOfvcVWNQfwxEAYgWIBcvFfUutkFvJS                     ,1981,Q4
1997-09-29 02:09:04,AAAAAAAAAAAABWV,PREF_A,ACTV,uMMYwOr vVBaTrpdKIwSRXAYtohNJiNnpRrfOcjhQEUtwCqXmEJuKSmZhZTvVxxFi     ,PCX   ,800077353,18600913,19441031,1.71,0000000635,1997,Q3
1997-09-29 11:42:05,AAAAAAAAAAAABWY,COMMON,ACTV,yHDDEHvAiOVKyDwLHAsOIhmYzNRSDVtkG                                     ,PCX   ,106189660,19860804,19900305,2.01,0000000213,1997,Q3
1997-09-29 19:08:03,AAAAAAAAAAAABXB,PREF_A,ACTV,ytLGnDgYLSHzYbGCyediIrITQPfWEuKiFFjpsEPPGCZQBaIsPpcAbUmPSKaJkv        ,NYSE  ,680451259,19751107,19131218,2.74,eWFjEoJAZOrJGuIHFpAAfiYQPntYtvHfuAwHTMB                     ,1997,Q3
1997-09-29 19:56:00,AAAAAAAAAAAABWL,PREF_A,ACTV,FAwcaOLkzIjMXIBDvafVzVjG                                              ,NASDAQ,272885791,19310723,19611111,0.13,0000000129,1997,Q3
1997-09-30 00:45:04,AAAAAAAAAAAABWW,COMMON,ACTV,KJQBKAFcWZoKsrVWRLPTc                                                 ,AMEX  ,184227110,18840122,19490723,0.48,0000000657,1997,Q3
1997-09-30 05:54:03,AAAAAAAAAAAABWZ,PREF_A,ACTV,KyjLSQVQxPQoTmUhFBqESIC                                               ,PCX   ,856713965,19240328,19671214,0.17,0000000489,1997,Q3
1997-09-30 08:04:05,AAAAAAAAAAAABXC,COMMON,ACTV,svVUCqjQJVlrrvdwFOSHCNIS aSDTNHAXiQuDENzqFFitaNYGbRiJu                ,AMEX  ,70008269,19270425,19250204,0.65,0000000644,1997,Q3
1997-09-30 17:05:03,AAAAAAAAAAAAAFF,COMMON,INAC,xAVO  CcUrVDjBdDTcMDaWHNAOHBVJmdVAESmpyPeIzUe xSi                     ,PCX   ,36971677,19520410,18730226,0.48,0000000022,1997,Q3
1997-09-30 17:29:04,AAAAAAAAAAAABWX,COMMON,ACTV,RPvKJgJqZWcCHvSUuKf                                                   ,AMEX  ,827441973,18980531,18961209,1.63,ENGDoBcJBTuAugFLKIzoEnkLDnlBMTZAvXJwRWFNVGivMNfTaPXjIhrKIoGj,1997,Q3
1997-09-30 19:48:02,AAAAAAAAAAAABXA,COMMON,ACTV,zAidLixKsIuUNbOnAOk                                                   ,NASDAQ,311356007,19460629,18880320,2.24,YYWNUBgKrUQqeNVxhaBH                                        ,1997,Q3
1997-09-30 23:59:05,AAAAAAAAAAAABXD,COMMON,ACTV,MFQKhxIseVLQyHmLUxAGkPSRzwYKhCY zCyiPSz QPfbsyw                       ,NYSE  ,778016892,19801204,18860227,2.63,0000000128,1997,Q3
1976-03-26 12:31:05,AAAAAAAAAAAAATG,COMMON,ACTV,ZSMtwBQoBPVFEIEHoFQI EGzSSRfJUxIXHw                                   ,NYSE  ,673491238,19651020,18550306,0.92,0000000173,1976,Q1
1976-03-26 21:11:03,AAAAAAAAAAAAATJ,COMMON,ACTV,jhRpPVdMGHZSaFZTFNKggVWwAYbpYgHpSmJQxMRQiY                            ,AMEX  ,961597065,19130830,19681113,1.36,0000000110,1976,Q1
1976-03-27 07:01:02,AAAAAAAAAAAAATB,COMMON,ACTV,XtrmyRbVttetkaRGkcHUkWFCxGhPMiwVEUAfbgRzjOghEFAOgNpO KhEHerpJmJ       ,NASDAQ,657101152,19300220,18670903,2.38,dEluvoyDvJUjnIcJSQeLjfBVqcISrcIOmRsoAGZctiPWPtDsTOmmLoXqrj  ,1976,Q1
1976-03-27 23:10:00,AAAAAAAAAAAAATE,COMMON,ACTV,izwMtJciBLLRQHjWJQNrNJXGIV rLRAgIrhrJoHBtt                            ,NYSE  ,957940260,19180130,19731219,0.97,0000000001,1976,Q1
1976-03-28 08:09:04,AAAAAAAAAAAAATH,COMMON,ACTV, VTWAVjFIHqmFRHpTFYQIXUWDTTJguPYQSlDVvxUTUTEABzjt                     ,PCX   ,727319830,18750718,19500328,0.37,WqyjZxfZCegnAiEm                                            ,1976,Q1
1976-03-28 08:14:02,AAAAAAAAAAAAAPY,PREF_A,ACTV,FDoFxJbTaoQHWYGLAOposLlMTqUMAEmPWTGCxeoYqXvEgRARMfxKuwNkSEQvQGFaHU    ,NASDAQ,251978939,19450711,18800219,2.88,0000000222,1976,Q1
1976-03-29 12:15:00,AAAAAAAAAAAAATC,COMMON,ACTV,zKOTDYdRYsVRNpXpSqu aRGErSlhFPGdtAtrzFbqQajknYHAF                     ,AMEX  ,81724286,19170916,18761003,2.59,KwjfmirRqfjJKRClFNxFXRUpUKSpCNxNadkYKRajlaHBFBFgLPbynOng    ,1976,Q1
1976-03-30 20:53:03,AAAAAAAAAAAAATF,PREF_B,ACTV,qHFDbFsyrxMuOD                                                        ,NYSE  ,857201947,18810630,19540721,1.15,0000000082,1976,Q1
1976-03-31 04:38:03,AAAAAAAAAAAAATI,COMMON,ACTV,MQUlULDEUVB iHGiDpVHdMRep                                             ,PCX   ,675431870,18540514,19730313,1.61,cbOBYMxWQHmHPdBYbLJCDSnTUlNTvGmLYmpMW                       ,1976,Q1
1976-03-31 16:09:05,AAAAAAAAAAAAALA,COMMON,INAC,JwwYfLTjbfqVXgEVJRMJVLdIkENNncKq                                      ,PCX   ,115764420,18971116,18781006,0.0,0000000022,1976,Q1
1976-03-31 23:59:05,AAAAAAAAAAAAATD,COMMON,ACTV,NUnA JKOBMfVydAGyKELnKRHMLRoRBctDuFSCKwvgUzOQBlsZ azBjqRRVIDAaLNKC    ,AMEX  ,965964213,18620308,18930729,2.11,wJOkBHercikQYJdMIbNOgrHyjAnaRBq                             ,1976,Q1
1972-09-23 22:59:05,AAAAAAAAAAAAAOF,PREF_A,ACTV,IhdyPSDrnEyrBoVMvCRSBQDcectqXilGlSMpGzIZOSWBMSMPXUIANObziTYQPjBHcT    ,NYSE  ,405647816,19620318,19210514,0.81,nixYOisDqcCHGulqtqUWSbTCAKwecrhIKKGTzGvXEGJhj               ,1972,Q3
1972-09-24 11:32:05,AAAAAAAAAAAAAOG,COMMON,ACTV,srDGwTwf UqUdEJBx UExIOXtNTWyTJ                                       ,AMEX  ,545195277,19470628,19600205,2.4,mPMQctNfdlYBGEJcUJMKsAYRADEUETYwjTnFsJLBCbNRKrGOaMiTuCx     ,1972,Q3
1972-09-26 00:40:05,AAAAAAAAAAAAAOH,COMMON,ACTV,PGJNvXjRrpnZTdOR FKLvswOsAYxGOvXH                                     ,AMEX  ,44195936,18811018,19151125,2.64,0000000072,1972,Q3
1972-09-26 18:38:03,AAAAAAAAAAAAAOI,PREF_C,ACTV,DBOReRTAGAjx DqHpexKEExyOZTpOKawcCuBlIyBU                             ,NYSE  ,980712918,18660731,18820506,2.55,0000000132,1972,Q3
1972-09-27 11:11:00,AAAAAAAAAAAAAOJ,COMMON,ACTV,vybZHWChLbgMQxet IqUQCEmbMFGOIR iStsfMF                               ,NASDAQ,749368936,18651005,19180331,2.01,0000000121,1972,Q3
1972-09-28 08:57:01,AAAAAAAAAAAAAOK,PREF_B,ACTV,IevgzABoRNFRJFqEIDOfAfyKJAVwMwHsy                                     ,NASDAQ,521060538,19270221,18750724,2.86,0000000066,1972,Q3
1972-09-28 14:53:00,AAAAAAAAAAAAAOL,COMMON,ACTV,qswfLNQVWkAszXLMXjGAKCIEOKSLWoFjFAru                                  ,NYSE  ,302410356,18810814,19111018,1.99,tvSFcCQtEywTlgDTDcLJCLU                                     ,1972,Q3
1972-09-29 14:49:03,AAAAAAAAAAAAAOM,COMMON,ACTV,phPUgWYRfNLlTqDCiDqpHRUIjbPUPTtgFHKOdgmFEy lt                         ,NYSE  ,467174234,19130605,19110617,1.58,0000000131,1972,Q3
1972-09-29 18:13:03,AAAAAAAAAAAAAON,COMMON,ACTV,jiKXSAhnelnKDYWuLOTHwydwdUUFesAwqPp                                   ,AMEX  ,597073274,18530820,19360727,1.65,0000000172,1972,Q3
1972-09-30 11:51:01,AAAAAAAAAAAAAHR,COMMON,ACTV,sgebkCthdXEUgRvKJQSQtoBMceSKyVtLHaSYIIttrgSleTuGzPyVNGT               ,PCX   ,44416546,18590718,19350824,1.12,0000000136,1972,Q3
1972-09-30 23:59:05,AAAAAAAAAAAAAJE,COMMON,INAC,zOnCDPxbpvNy                                                          ,PCX   ,219832716,19341125,19471109,2.77,0000000018,1972,Q3
1986-03-27 14:30:01,AAAAAAAAAAAABHE,COMMON,ACTV,qAOESfBIVsaygAYLNaIOcOhqGBJSuICwkSYhVBNTGqKbPbEFkTgKCOJe XIKTG        ,AMEX  ,219825382,18800420,19310713,0.76,CAKVWQkEDwoihBhy                                            ,1986,Q1
1986-03-27 19:07:01,AAAAAAAAAAAABHD,PREF_A,ACTV,uBYDJYTDBATBpOlBKcy                                                   ,PCX   ,798466439,19050918,19840611,2.52,0000000130,1986,Q1
1986-03-28 16:21:05,AAAAAAAAAAAABHC,COMMON,ACTV,RPdKWqGJXwINSb                                                        ,NASDAQ,86473613,18681029,19010818,0.53,0000000203,1986,Q1
1986-03-29 14:35:01,AAAAAAAAAAAABHB,COMMON,ACTV,dBdemXjgzysKhaDPCYNGKirBHvALaBFbl                                     ,PCX   ,985500098,19530615,19480825,2.14,0000000018,1986,Q1
1986-03-29 22:42:03,AAAAAAAAAAAABHA,COMMON,ACTV,WiKAkNSo ZErLhMKNIVGlNTN                                              ,PCX   ,322831514,18510217,19130723,2.71,0000000241,1986,Q1
1986-03-30 09:02:04,AAAAAAAAAAAABGZ,COMMON,ACTV,gGrCMOrfFCWvZEgDaCGxcvLveQfQCoZzVfH                                   ,AMEX  ,99628525,19221108,18881202,0.65,JGGCQbERQHXaNRDxRmZvCqEKWuyEqRebHVXkkTBTmOrqaDgcbAK         ,1986,Q1
1986-03-30 18:27:05,AAAAAAAAAAAABGY,COMMON,ACTV,jEaNkeGuRFddZTCK QnaSwgqWQwGNifeJYgHVyGdEpPcOZMnOIrkSXVGTUtZTROeEK    ,NYSE  ,979264134,19671031,18861225,0.05,XrWiboLxUQlnSBFaqKaSNnLmzFxabLyNHe                          ,1986,Q1
1986-03-31 00:53:01,AAAAAAAAAAAABGX,COMMON,ACTV,VyHTbBUuIYUsdXsRFMihVXwtK                                             ,AMEX  ,733335911,19820731,18840219,1.7,XiKcfZmoGQnBHAdYEzmdTwSdbIDPEXDvLJbgRSdkrsLGrsJIESgMl       ,1986,Q1
1986-03-31 02:41:02,AAAAAAAAAAAAALV,COMMON,INAC,PLaffWQFKCZRHjNVfrDLYJkOqCzZLQzdtRSGaQcQBewQfHyVAShMYRjaknm FV        ,PCX   ,314244263,19491023,19440617,0.11,EWLGmUGXPFpTzJHWSDhhEcNENrEWmoXjAnVAy                       ,1986,Q1
1986-03-31 03:28:02,AAAAAAAAAAAAARN,PREF_B,ACTV,eIIhJwdQKPTrUZrSsAsVFDvOYcAODNUABlOqHZnCIDFJHsYLBnwHjFUy              ,AMEX  ,267745208,18790620,19100501,0.52,0000000304,1986,Q1
1986-03-31 16:19:00,AAAAAAAAAAAABHF,PREF_C,ACTV,PZzKiircDTfPoJBRHmWHV xyPrLVDV                                        ,NASDAQ,49784351,19010223,19670420,0.44,zSzyZVwpMSypTaf                                             ,1986,Q1
1969-09-19 14:32:03,AAAAAAAAAAAAAKF,COMMON,ACTV,ARaInDATQWULqPkUVyPQdkHABnqnWnNafUMOzVuIJSIa                          ,AMEX  ,973792915,19150104,19470608,1.98,0000000104,1969,Q3
1969-09-21 12:48:04,AAAAAAAAAAAAAKC,PREF_B,ACTV,GGNmkKkwbgAGLO                                                        ,PCX   ,950238999,18520727,18810118,1.68,OSvBGFNHvlSDUkAncnHMlgQLV                                   ,1969,Q3
1969-09-21 18:51:00,AAAAAAAAAAAAAFN,COMMON,ACTV,OOMNNcJQ UxcbDgweVmglzFLKjEN PqGQcknQkMISSqMdjcIHDjPAoubt             ,NASDAQ,814700908,18520609,18870817,2.49,kdkMSIAUXjfEwPBQSgTKSIKmszCtWWXwKGVRUzPODH                  ,1969,Q3
1969-09-22 12:43:04,AAAAAAAAAAAAAKH,COMMON,ACTV,macoVFrHnRXMnafbfEqSUItJwPnFFooWjqIrufYpDs                            ,AMEX  ,208749343,18711225,19590103,2.79,lRFFxbuSdaaOoGESnCUfCnNBiAPfzULXLkvvOKypCeBBGHyQXbghJLPQpGBX,1969,Q3
1969-09-23 02:39:02,AAAAAAAAAAAAAKE,COMMON,ACTV,KNlUbAJQnD                                                            ,AMEX  ,471828513,18950402,19000222,2.26,KOoRBLuVJAmbedckFhAQyRqTdgMMbJwtQJUMWiUWf                   ,1969,Q3
1969-09-23 03:59:03,AAAAAAAAAAAAAKB,COMMON,ACTV,AyFBrAnvJpPHcCNMUDmpvaqiUWnvVqbUMRtQwnjKBZzVEIGWeOhKJW                ,NYSE  ,186932176,18520915,19530403,1.39,0000000091,1969,Q3
1969-09-23 22:55:00,AAAAAAAAAAAAAKJ,COMMON,ACTV,nMLzQnDulpSiIMJurwytHoeDYNzBPSDlOGKuVoraCFJcTopclebUMSyAnsM CgxsIV    ,PCX   ,165461541,18980503,19650821,0.56,DvbOuQtQhhIpCgicNoNmJJmIISOzXrHUBciK                        ,1969,Q3
1969-09-23 23:45:00,AAAAAAAAAAAAAKG,COMMON,ACTV,OmGUDdLgyObEaGj                                                       ,NASDAQ,561464,19470409,19550819,0.1,gDqcCBxupXLOeBnjyoDuJKKpXXazMTBejzLaoxVkzpfVHbeQYNnEL       ,1969,Q3
1969-09-24 21:18:04,AAAAAAAAAAAAAKD,COMMON,ACTV,CdhTtGSsDNmAOYjVlN pdiLMKNbaQNhGB                                     ,AMEX  ,227468557,19141212,19040614,1.86,0000000032,1969,Q3
1969-09-28 04:59:05,AAAAAAAAAAAAAEX,PREF_A,INAC,rXXqIXUudvLsJzyySqDmCiOmUIhEkFcmJWUKM zeTFtQCSYObBgjXbFRWMkNtvM       ,PCX   ,295217815,19111128,19281119,2.76,0000000050,1969,Q3
1969-09-29 19:23:03,AAAAAAAAAAAAAKI,PREF_A,ACTV,zmfTCCfbRRutmMHkSinIqeRBvpNhSmUxaBTOHeTqPgKnaV                        ,NASDAQ,465473209,18820707,18511001,0.55,tVwRqtyZnGGmzjRUwFjQ                                        ,1969,Q3
1994-06-27 17:06:02,AAAAAAAAAAAAAFY,COMMON,ACTV,KgdAwOeebAgSnPCSQ FVwFWQIgREfKXcOtkKFjBGIOMGJXdoQjLLoRnj              ,NASDAQ,780945691,19740512,18950513,0.04,0000000058,1994,Q2
1994-06-27 20:25:05,AAAAAAAAAAAABSJ,PREF_A,ACTV,EsAFuGMzbvlkyGBZReoPKWQBNOl                                           ,AMEX  ,205640250,19250122,19820525,1.52,0000000504,1994,Q2
1994-06-28 00:32:02,AAAAAAAAAAAABSM,PREF_C,ACTV,MfMBjjGFu uBkRLfHaIpytZ                                               ,AMEX  ,290670707,19670720,18710405,0.06,LyPLWCiNgEmpbhlfYPIKdDcaFIKWon                              ,1994,Q2
1994-06-28 07:12:03,AAAAAAAAAAAABSP,COMMON,ACTV,DAKuQLzkAECiU LdNmTbZMM                                               ,AMEX  ,392810734,19221115,18760906,0.41,0000000417,1994,Q2
